Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7849998474121,14.8509998321533,14.9090003967285,14.9169998168945,14.9119997024536,14.9659996032715,14.8039999008179,14.6619997024536,14.5740003585815,14.5319995880127,14.5089998245239,14.8159999847412,15.1770000457764,15.5329999923706,15.8470001220703,16.1110000610352,15.6549997329712,15.2209997177124,14.8769998550415,14.6940002441406,14.7089996337891,15.2580003738403,15.9919996261597,16.8589992523193,17.7859992980957,18.7169990539551,19.4190006256104,19.4729995727539,19.5249996185303
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6750030517578,86.6520004272461,86.6110000610352,86.5530014038086,86.4800033569336,86.3960037231445,86.3899993896484,86.4059982299805,86.4369964599609,86.4769973754883,86.5220031738281,86.6360015869141,86.7600021362305,86.8850021362305,87.0019989013672,87.1019973754883,87.0009994506836,86.8929977416992,86.7789993286133,86.6600036621094,86.5449981689453,86.5319976806641,86.5410003662109,86.5739974975586,86.6330032348633,86.7149963378906,86.7170028686523,86.7119979858398,86.7160034179688
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,339.633338545264,352.243953013023,341.612456349531,365.54873357194,372.896734656069,412.919584995684,418.478815782955,495.108928498185,550.514973976336,536.012485738268,584.907375729425,597.52522367843,594.574109725141,585.708288402396,583.055107445951,583.869634468199,..
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.5900001525879,55.7809982299805,56.0970001220703,55.2809982299805,54.5349998474121,53.5019989013672,52.9070014953613,53.5610008239746,52.9780006408691,52.1650009155273,51.7179985046387,51.0950012207031,50.6790008544922,49.7589988708496,48.8779983520508,48.0509986877441,47.3889999389648,46.8030014038086,46.2690010070801,44.9449996948242,45.693000793457,47.1040000915527,48.8059997558594,44.6500015258789,44.7890014648438,47.6759986877441,47.4389991760254,47.2179985046387,47.0349998474121
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.4160003662109,74.8479995727539,74.8270034790039,74.6309967041016,74.2799987792969,73.6800003051758,73.6589965820313,74.1259994506836,74.0630035400391,73.7890014648438,73.5999984741211,73.0599975585938,72.5960006713867,71.0339965820313,69.4570007324219,67.9020004272461,66.5100021362305,65.2190017700195,64.0100021362305,64.2919998168945,62.984001159668,64.411003112793,66.1169967651367,62.6459999084473,63.8819999694824,65.161003112793,65.0530014038086,64.8629989624023,64.6880035400391
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2037.12265690908,2111.45010313022,2128.25386913991,2106.61373756418,2036.93754711735,2031.01830136765,2104.43261699367,2046.57131837887,1979.80147204283,2116.8753489447,1880.04133961703,1331.75977954904,1243.3906105403,1371.09660087204,1494.04115196592,1703.23715591804,1869.81682332839,1676.08283992159,1835.59672181564,2085.37114722307,2244.56483625821,2453.55746392687,2572.65220137171,2725.09674471869,2887.29129104856,3062.59250441631,3263.81240015098,3485.22762820259,3775.47970880563,3928.3421433855,4094.36020359235,4210.07700502783,4276.91764306365,4327.60823177573,4413.33512231953,4524.46750792429,4683.51921650756,4867.63246464765,..
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.496000289917,11.5349998474121,11.581000328064,11.6470003128052,11.7239999771118,11.8039999008179,11.8669996261597,11.8129997253418,11.798999786377,11.8249998092651,11.8929996490479,12.0069999694824,12.1619997024536,12.3549995422363,12.5830001831055,12.8430004119873,13.1330003738403,13.4549999237061,13.8120002746582,14.206000328064,14.378999710083,15.2390003204346,16.1569995880127,16.8819999694824,15.3400001525879,15.2370004653931,15.125,15.2320003509521,15.3109998703003
Algeria,DZA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.4459991455078,76.9339981079102,77.0179977416992,77.5609970092773,77.9359970092773,77.7229995727539,77.4619979858398,76.7490005493164,76.0370025634766,75.3339996337891,74.6470031738281,74.0319976806641,73.4400024414063,72.8690032958984,72.318000793457,71.7829971313477,71.2600021362305,70.7409973144531,70.2259979248047,69.7220001220703,70.0459976196289,69.4879989624023,68.9280014038086,70.1969985961914,67.4059982299805,67.4199981689453,67.3929977416992,67.338996887207,67.2050018310547
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2466.03823773921,2078.22193264149,1628.38872469851,2133.31860696595,2200.81387552427,2276.14699806443,2107.80039069983,2242.45041658515,2414.01669523072,2543.56326506323,2691.80231716574,2321.35040216342,2877.74526458977,2906.70050213366,3039.42057095695,3104.49357283744,3270.68035550656,3345.37801658058,3548.90006516235,3702.77744976188,3620.70353744051,3616.0163127638,3729.25717804288,3809.80376338816,3900.85047953641,3924.70927125649,3825.90401773088,3691.64755540573,3554.62274036993,3613.14659345199,3550.03267154172,3422.63861820934,3403.90345222401,3259.84367977166,3164.8985771543,3223.55756040321,3297.86337455833,3281.10213909542,3397.41019779189,3457.13704649758,3541.07203679729,3600.4372541096,3754.51627515001,3974.17503202227,4091.1442350798,4273.31275146765,4282.32823091748,4359.37574752245,4390.49963275957,4386.03889558891,4463.39467488951,4504.92009813206,4564.43501678967,4596.21962738807,4675.88502447667,4759.5952415194,4827.72425138732,4820.43406371988,..
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
